index,Year,Month,postalcode,one_two,three,four,five_exec,planningarea,latitude,longitude,subzone,region,average
237336,2015,Apr,260008,-,257.6,-,428.8,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,343.2
246254,2015,May,260001,-,-,-,421,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,421.0
246255,2015,May,260002,-,212.4,389.4,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,300.9
246256,2015,May,260003,-,287.5,437.7,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,362.6
246259,2015,May,260008,-,313.1,-,465.8,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,389.45
255162,2015,Jun,260001,-,-,-,510.1,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,510.1
255163,2015,Jun,260002,-,222,384.1,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,303.05
255164,2015,Jun,260003,-,282.8,446.2,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,364.5
255167,2015,Jun,260008,-,292.9,-,462.4,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,377.65
264039,2015,July,260001,-,-,-,444.5,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,444.5
264040,2015,July,260002,-,213.9,362.5,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,288.2
264041,2015,July,260003,-,278.6,430.4,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,354.5
264044,2015,July,260008,-,332.5,-,369.2,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,350.85
272955,2015,Aug,260001,-,-,-,447.9,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,447.9
272956,2015,Aug,260002,-,199.8,391.5,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,295.65
272957,2015,Aug,260003,-,262.4,462.9,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,362.65
272960,2015,Aug,260008,-,325.4,-,422.6,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,374.0
281846,2015,Sep,260001,-,-,-,521.2,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,521.2
281847,2015,Sep,260002,-,277.6,444.8,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,361.2
281848,2015,Sep,260003,-,312.7,518.5,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,415.6
281851,2015,Sep,260008,-,313,-,462,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,387.5
290730,2015,Oct,260001,-,-,-,427.6,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,427.6
290731,2015,Oct,260002,-,246.7,358.5,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,302.6
290732,2015,Oct,260003,-,243.8,418.4,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,331.1
290735,2015,Oct,260008,-,313.7,-,427.8,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,370.75
299620,2015,Nov,260001,-,-,-,483.7,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,483.7
299621,2015,Nov,260002,-,257.2,403.6,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,330.4
299622,2015,Nov,260003,-,261.2,482.1,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,371.65
299625,2015,Nov,260008,-,322.8,-,386.2,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,354.5
308354,2015,Dec,260001,-,-,-,417.6,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,417.6
308355,2015,Dec,260002,-,223.7,313.2,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,268.45
308356,2015,Dec,260003,-,248.6,423.3,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,335.95
308359,2015,Dec,260008,-,337.3,-,514.3,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,425.8
317254,2016,Jan,260001,-,-,-,452.364,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,452.36400000000003
317255,2016,Jan,260002,-,241.1,348.316,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,294.70799999999997
317256,2016,Jan,260003,-,239.69,453.27,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,346.48
317259,2016,Jan,260008,-,248.043,-,321.8,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,284.9215
326185,2016,Feb,260001,-,-,-,342.83,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,342.83
326186,2016,Feb,260002,-,159.4,266.804,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,213.102
326187,2016,Feb,260003,-,208.276,366.959,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,287.6175
326190,2016,Feb,260008,-,290.414,-,363.4,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,326.907
335072,2016,Mar,260001,-,-,-,434.034,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,434.034
335073,2016,Mar,260002,-,217.2,333.304,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,275.252
335074,2016,Mar,260003,-,265.034,442.667,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,353.8505
335077,2016,Mar,260008,-,288.674,-,504,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,396.337
343990,2016,Apr,260001,-,-,-,508.267,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,508.267
343991,2016,Apr,260002,-,267.3,362.786,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,315.043
343992,2016,Apr,260003,-,334.5,471.376,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,402.93800000000005
343995,2016,Apr,260008,-,301.055,-,448.2,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,374.6275
352915,2016,May,260001,-,-,-,485.09,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,485.09
352916,2016,May,260002,-,254,374,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,314.0
352917,2016,May,260003,-,332.107,463.778,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,397.9425
352920,2016,May,260008,-,376.516,-,458.2,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,417.358
361854,2016,Jun,260001,-,-,-,490.034,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,490.034
361855,2016,Jun,260002,-,364.5,442.175,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,403.3375
361856,2016,Jun,260003,-,317.393,498.656,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,408.0245
361859,2016,Jun,260008,-,319.456,-,438.6,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,379.028
370747,2016,Jul,260001,-,-,-,464.727,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,464.727
370748,2016,Jul,260002,-,303.2,363.186,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,333.19300000000004
370749,2016,Jul,260003,-,296.897,474.139,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,385.51800000000003
370752,2016,Jul,260008,-,311.199,-,446.6,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,378.8995
379634,2016,Aug,260001,-,-,-,476.055,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,476.055
379635,2016,Aug,260002,-,216.545,359.464,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,288.0045
379636,2016,Aug,260003,-,319.679,449.447,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,384.56300000000005
379639,2016,Aug,260008,-,330.45,-,457.4,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,393.925
388504,2016,Sep,260001,-,-,-,456.921,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,456.921
388505,2016,Sep,260002,-,257.8,355.649,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,306.7245
388506,2016,Sep,260003,-,299,449.852,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,374.426
388509,2016,Sep,260008,-,302.394,-,394,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,348.19699999999995
397378,2016,Oct,260001,-,-,-,387.352,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,387.352
397379,2016,Oct,260002,-,290.4,355.719,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,323.0595
397380,2016,Oct,260003,-,251.357,417.789,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,334.57300000000004
397383,2016,Oct,260008,-,314.967,-,432.8,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,373.8835
406261,2016,Nov,260001,-,-,-,476.551,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,476.551
406262,2016,Nov,260002,-,312,415.875,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,363.9375
406263,2016,Nov,260003,-,303.552,484.584,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,394.06800000000004
406266,2016,Nov,260008,-,293.044,-,418.6,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,355.82199999999995
415130,2016,Dec,260001,-,-,-,315.303,BUKIT TIMAH,1.3175,103.8068,FARRER COURT,CENTRAL,315.303
415131,2016,Dec,260002,-,215.909,294.732,-,BUKIT TIMAH,1.3179,103.8071,FARRER COURT,CENTRAL,255.3205
415132,2016,Dec,260003,-,197.897,348.041,-,BUKIT TIMAH,1.3187,103.8079,FARRER COURT,CENTRAL,272.969
415135,2016,Dec,260008,-,298,-,412,BUKIT TIMAH,1.3173,103.8062,FARRER COURT,CENTRAL,355.0
